Barcode,CategoryA,CategoryB,CategoryC,CategoryD
2017968,10,11,264,1
2017972,10,11,266,1
2017977,10,11,266,1
2018055,10,11,264,1
2087203,20,54,164,2
2089378,20,54,161,1
2090681,20,56,183,4
2090683,20,56,183,1
2090709,20,56,183,4
2091054,20,57,133,5
2091187,20,56,183,11
2091188,20,56,183,1
2091190,20,56,183,1
2091192,20,56,183,1
2091195,20,56,183,6
2091197,20,56,183,9
2091199,20,56,183,4
2091200,20,56,183,4
2091202,20,56,183,1
2091214,20,56,181,20
2093346,20,54,164,1
2093349,20,54,164,1
2093351,20,54,164,1
2093353,20,54,164,1
2099624,20,56,183,1
2200149,20,56,183,5
2202133,20,51,116,3
2205177,20,56,183,4
2205196,20,56,183,4
2208289,20,54,162,10
2208480,20,56,183,7
2213299,20,55,171,4
2227621,40,32,323,1
2227622,40,32,323,1
2227623,40,32,323,1
2227627,40,32,323,1
2227631,40,32,323,1
2227634,40,32,323,1
2227640,40,32,323,2
2227642,40,32,323,2
2227652,40,32,323,2
2241414,20,54,162,7
2241415,20,54,162,7
2267254,20,56,183,11
2268362,20,56,183,12
2282173,20,56,183,8
2285714,20,54,162,1
2286088,20,54,162,4
2286090,20,54,162,7
2286096,20,54,162,10
2291103,20,54,162,1
3801303,10,14,205,1
4014401,10,14,212,5
4025738,10,14,213,1
4063620,30,24,43,1
4082293,10,11,261,3
4088300,10,12,286,2
4101544,10,14,204,1
4101549,10,14,204,1
4200019,10,14,204,1
4211746,10,11,261,10
4212388,10,14,212,4
4215315,10,12,285,1
4215465,10,14,212,4
4215466,10,14,212,4
4217447,10,14,212,4
4217476,10,14,212,4
4217477,10,14,212,4
4218208,10,14,212,4
4218209,10,14,212,4
4218210,10,14,212,4
4218211,10,14,212,4
4218263,10,12,286,2
4218888,10,14,212,4
4218891,10,14,212,4
4218947,10,14,212,4
4218948,10,14,212,4
4218966,10,14,212,4
4221151,10,14,212,4
4221181,10,14,212,4
4224061,10,12,285,3
4224068,10,12,285,3
4224159,10,12,285,3
4224195,10,12,285,3
4224211,10,12,285,3
4224244,10,12,285,3
4981452,10,14,212,7
5009726,10,12,285,3
5009742,10,12,285,3
5009746,10,12,285,3
5009802,10,12,285,3
5012001,10,12,285,3
5015774,10,14,227,5
5016810,10,14,201,5
5017382,10,14,212,4
5039623,10,14,203,5
5075596,10,14,212,1
5081939,10,14,212,5
5092538,10,12,285,5
5201160,10,14,212,4
5201166,10,14,212,5
5201167,10,14,212,5
5201245,10,11,264,1
5201260,10,11,264,1
5201261,10,11,264,1
5201325,10,11,263,3
5201346,10,14,212,5
5201494,10,11,262,1
5201529,10,12,285,5
5201530,10,12,285,5
5201628,10,14,231,1
5201629,10,14,231,1
5201630,10,14,231,1
5201631,10,14,231,1
5201632,10,14,231,1
5201635,10,14,212,4
5201636,10,14,212,4
5201703,10,14,212,4
5201706,10,14,212,4
5201708,10,14,212,4
5201720,10,14,212,4
5201722,10,14,212,4
5201726,10,14,212,4
5201730,10,14,212,4
5201732,10,14,212,4
5201733,10,14,212,4
5201734,10,14,212,4
5201751,10,14,212,5
5201752,10,14,212,5
5201763,10,14,212,4
5201767,10,14,212,5
5201768,10,14,212,5
5201800,10,11,262,1
5201801,10,14,212,4
5210010,10,14,232,4
5402489,10,12,285,1
5449106,10,11,261,2
5449147,10,11,261,1
5449238,10,11,261,1
5449249,10,11,261,3
5449265,10,11,261,10
5449275,10,11,261,10
5449280,10,11,261,10
5609068,10,14,212,4
5609264,10,14,212,4
7500162,10,11,262,1
7503281,10,11,262,1
7622228,10,14,232,4
7622490,10,14,211,1
8005011,10,14,213,1
8005027,10,14,213,2
8005093,30,21,3,2
8005204,10,14,212,5
8005233,10,14,212,5
8005235,10,14,213,4
8005236,10,14,213,4
8005246,10,14,204,1
8005258,10,14,213,4
8005276,10,14,213,4
8013546,10,14,232,4
8013587,10,14,232,4
8017680,10,14,232,4
8017761,10,14,213,1
8031016,10,14,213,1
8031089,10,14,213,1
8034434,30,22,22,2
8039331,10,14,239,2
8039332,10,14,239,2
8059411,10,14,212,4
8064336,10,14,212,5
8067586,10,14,212,5
8067589,10,14,212,5
8067590,10,14,212,5
8069579,10,14,239,2
8069580,10,14,239,2
8070613,10,14,212,4
8072292,10,14,212,4
8073662,10,14,212,4
8073663,10,14,212,4
8075359,10,14,212,4
8075360,10,14,212,4
8076176,10,14,213,4
8077953,10,14,212,4
8079473,10,14,212,4
8079476,10,14,212,4
8080138,10,14,212,4
8080417,10,14,212,4
8085893,10,14,212,4
8088098,10,14,212,4
8089144,10,14,212,4
8089484,10,14,212,4
8090526,10,14,212,4
8091338,10,14,212,4
8091615,10,14,212,4
8092658,10,14,212,4
8094206,10,14,212,4
8097511,10,14,212,4
8097923,10,14,212,4
8410073,10,14,203,6
8410903,10,14,212,4
8410913,10,14,212,4
8410914,10,14,212,4
8410919,10,14,212,4
8410920,10,14,212,4
8416416,10,14,212,4
8416463,10,14,212,4
8710801,10,14,212,5
8710802,10,14,212,6
8712017,10,11,262,1
8712665,10,11,261,11
8715711,10,14,227,5
8715723,10,14,227,5
8715763,10,14,227,5
8716208,10,14,216,2
8716266,10,14,216,2
8716267,10,14,216,2
8716277,10,14,216,2
8716278,10,14,216,2
8716287,10,14,216,2
8716290,10,14,216,2
9039958,30,22,19,2
9049474,10,11,261,11
9600261,10,12,285,3
9600338,10,12,285,3
9600707,10,12,285,3
9601769,10,12,285,3
9602702,10,12,285,3
9604091,10,12,285,3
9604775,10,12,285,3
9604805,10,12,285,3
9606262,10,12,286,2
2120049372,40,31,317,5
2610215018,40,31,311,3
2610228479,40,31,310,1
2610230629,40,31,310,3
2610236341,40,31,310,3
2610236358,40,31,310,3
2610270361,40,31,310,3
2667668982,40,38,382,1
2708450017,40,38,382,1
2819000787,10,14,205,3
2819000794,10,14,205,3
4150054850,10,14,227,2
4150076368,10,14,227,2
4600028326,10,14,202,1
